model,aggregation,n_records,n_positive_non_norm,n_negative_norm,roc_auc,average_precision,tpr_at_fpr_5pct,threshold_sensitivity,threshold_specificity,threshold_precision,threshold_accuracy,tp,fp,tn,fn
time_full,max,400,200,200,0.4475,0.4737847223471699,0.045,0.095,0.88,0.4418604651162791,0.4875,19,24,176,181
time_full,mean,400,200,200,0.4555,0.48396484456892974,0.05,0.03,0.985,0.6666666666666666,0.5075,6,3,197,194
time_full,q95,400,200,200,0.44430000000000003,0.4719685456142444,0.05,0.08,0.885,0.41025641025641024,0.4825,16,23,177,184
walsh_full,max,400,200,200,0.4475,0.4737847223471699,0.045,0.095,0.88,0.4418604651162791,0.4875,19,24,176,181
walsh_full,mean,400,200,200,0.4555,0.48396484456892974,0.05,0.03,0.985,0.6666666666666666,0.5075,6,3,197,194
walsh_full,q95,400,200,200,0.44430000000000003,0.4719685456142444,0.05,0.08,0.885,0.41025641025641024,0.4825,16,23,177,184
walsh_diag,max,400,200,200,0.4536,0.4828597804106397,0.055,0.11,0.865,0.4489795918367347,0.4875,22,27,173,178
walsh_diag,mean,400,200,200,0.45629999999999993,0.4877418918273245,0.04,0.02,0.985,0.5714285714285714,0.5025,4,3,197,196
walsh_diag,q95,400,200,200,0.45367499999999994,0.48538370874992554,0.045,0.09,0.895,0.46153846153846156,0.4925,18,21,179,182
walsh_block,max,400,200,200,0.4616,0.48395086549459576,0.045,0.11,0.88,0.4782608695652174,0.495,22,24,176,178
walsh_block,mean,400,200,200,0.47175,0.498294356250643,0.045,0.02,0.985,0.5714285714285714,0.5025,4,3,197,196
walsh_block,q95,400,200,200,0.46162499999999995,0.4853040716252217,0.04,0.08,0.89,0.42105263157894735,0.485,16,22,178,184
isolation_forest_walsh,max,400,200,200,0.42895000000000005,0.46299266656112487,0.025,0.115,0.865,0.46,0.49,23,27,173,177
isolation_forest_walsh,mean,400,200,200,0.4336499999999999,0.46598599006958696,0.035,0.005,0.99,0.3333333333333333,0.4975,1,2,198,199
isolation_forest_walsh,q95,400,200,200,0.428025,0.46473705711754043,0.03,0.085,0.905,0.4722222222222222,0.495,17,19,181,183
