lead,model,trace_scaled_s,condition,cross_to_retained_ratio
I,time_full,10.663340174223968,581.2704957721782,
I,walsh_full,10.663340174223968,581.2704957721551,
I,walsh_diag,10.663340174223972,285.0299413521875,
I,walsh_block,10.663340174223968,536.7487104481112,0.2187517061221541
II,time_full,9.967133905477837,610.631197220654,
II,walsh_full,9.967133905477835,610.6311972206536,
II,walsh_diag,9.967133905477837,322.644134357888,
II,walsh_block,9.967133905477835,556.2891643844993,0.21649591625051384
V2,time_full,17.563810288015183,910.5322427085509,
V2,walsh_full,17.56381028801518,910.5322427084847,
V2,walsh_diag,17.563810288015183,471.8670559977025,
V2,walsh_block,17.56381028801518,800.1380151760285,0.24248511700402436
